sample	mutsig	attribution
bAccGen1	SBS0	0.359249083027676
bAccGen1	SBS1	0.0141260420140047
bAccGen1	SBS2	0.00715838612870957
bAccGen1	SBS3	0.00493297765921974
bAccGen1	SBS4	0.00460420140046682
bAccGen1	SBS5	0.121684561520507
bAccGen1	SBS6	0.00959619873291097
bAccGen1	SBS7	0.00250550183394465
bAccGen1	SBS8	0.312375458486162
bAccGen1	SBS9	0.00391530510170057
bAccGen1	SBS10	0.00113071023674558
bAccGen1	SBS11	0.00376592197399133
bAccGen1	SBS12	0.000654551517172391
bAccGen1	SBS13	0.0645721907302434
bAccGen1	SBS14	0.00353984661553851
bAccGen1	SBS15	0.0107889296432144
bAccGen1	SBS16	0.00226108702900967
bAccGen1	SBS17	0.010781927309103
bAccGen1	SBS18	0.000588862954318106
bAccGen1	SBS19	0.0428772924308103
bAccGen1	SBS20	0.000263087695898633
bAccGen1	SBS21	0.000132044014671557
bAccGen1	SBS22	0.000274091363787929
bAccGen1	SBS23	0.00102934311437146
bAccGen1	SBS24	5.03501167055685e-05
bAccGen1	SBS25	0.00159219739913304
bAccGen1	SBS26	0.000690563521173725
bAccGen1	SBS27	0.000514504834944982
bAccGen1	SBS28	0.000101033677892631
bAccGen1	SBS29	0.000219406468822941
bAccGen1	SBS30	0.00762787595865288
bAccGen1	SBS31	9.63654551517172e-05
bAccGen1	SBS32	0.000215071690563521
bAccGen1	SBS33	0.000309769923307769
bAccGen1	SBS34	0.000762254084694898
bAccGen1	SBS35	0.000112370790263421
bAccGen1	SBS36	3.40113371123708e-05
bAccGen1	SBS37	0.000189396465488496
bAccGen1	SBS38	0.000101700566855619
bAccGen1	SBS39	0.000215071690563521
bAccGen1	SBS40	3.40113371123708e-05
bAccGen1	SBS41	5.20173391130377e-05
bAccGen1	SBS42	6.66888962987663e-06
bAccGen1	SBS43	0.000546515505168389
bAccGen1	SBS44	6.20206735578526e-05
bAccGen1	SBS45	7.13571190396799e-05
bAccGen1	SBS46	0.00217705901967322
bAccGen1	SBS47	4.40146715571857e-05
bAccGen1	SBS48	8.1027009003001e-05
bAccGen1	SBS49	6.40213404468156e-05
bAccGen1	SBS50	4.7349116372124e-05
bAccGen1	SBS51	5.90196732244081e-05
bAccGen1	SBS52	0.000140713571190397
bAccGen1	SBS53	0.000101367122374125
bAccGen1	SBS54	0.000148049349783261
bAccGen1	SBS55	4.43481160386796e-05
bAccGen1	SBS56	0.000123374458152718
bAccGen1	SBS57	5.16838946315438e-05
bAccGen1	SBS58	1.30043347782594e-05
bAccGen1	SBS59	4.66822274091364e-06
bAccGen1	SBS60	2.13404468156052e-05
bAccGen1	SBS61	0.000114704901633878
bAccGen1	SBS62	2.53417805935312e-05
bAccGen1	SBS63	4.00133377792598e-06
bAccGen1	SBS64	0.000201400466822274
bAccGen1	SBS65	0.000100366788929643
bAccGen1	SBS66	2.10070023341114e-05
cmLunCruc20	SBS0	0.614476821192053
cmLunCruc20	SBS1	0.0180529801324503
cmLunCruc20	SBS2	0.00782913907284768
cmLunCruc20	SBS3	0.0029317880794702
cmLunCruc20	SBS4	0.00702913907284768
cmLunCruc20	SBS5	0.125805298013245
cmLunCruc20	SBS6	0.00880927152317881
cmLunCruc20	SBS7	0.00687615894039735
cmLunCruc20	SBS8	0.00493907284768212
cmLunCruc20	SBS9	0.0897344370860927
cmLunCruc20	SBS10	0.00175761589403974
cmLunCruc20	SBS11	0.00205298013245033
cmLunCruc20	SBS12	0.00201721854304636
cmLunCruc20	SBS13	0.0118715231788079
cmLunCruc20	SBS14	0.0136940397350993
cmLunCruc20	SBS15	0.00340662251655629
cmLunCruc20	SBS16	0.00250397350993377
cmLunCruc20	SBS17	0.00115562913907285
cmLunCruc20	SBS18	0.0064794701986755
cmLunCruc20	SBS19	0.00108079470198675
cmLunCruc20	SBS20	0.000536423841059603
cmLunCruc20	SBS21	0.00010794701986755
cmLunCruc20	SBS22	8.34437086092715e-05
cmLunCruc20	SBS23	0.00129735099337748
cmLunCruc20	SBS24	7.6158940397351e-05
cmLunCruc20	SBS25	0.0126172185430464
cmLunCruc20	SBS26	0.000697350993377483
cmLunCruc20	SBS27	0.00326423841059603
cmLunCruc20	SBS28	0.000554304635761589
cmLunCruc20	SBS29	0.000421854304635762
cmLunCruc20	SBS30	0.00104834437086093
cmLunCruc20	SBS31	0.000196688741721854
cmLunCruc20	SBS32	9.80132450331126e-05
cmLunCruc20	SBS33	0.000255629139072848
cmLunCruc20	SBS34	0.00101920529801324
cmLunCruc20	SBS35	0.000103311258278146
cmLunCruc20	SBS36	0.000282781456953642
cmLunCruc20	SBS37	0.000284105960264901
cmLunCruc20	SBS38	4.37086092715232e-05
cmLunCruc20	SBS39	0.000429801324503311
cmLunCruc20	SBS40	0.00013046357615894
cmLunCruc20	SBS41	0.000105960264900662
cmLunCruc20	SBS42	6.55629139072848e-05
cmLunCruc20	SBS43	0.0168331125827815
cmLunCruc20	SBS44	6.95364238410596e-05
cmLunCruc20	SBS45	8.60927152317881e-05
cmLunCruc20	SBS46	0.0244834437086093
cmLunCruc20	SBS47	7.74834437086093e-05
cmLunCruc20	SBS48	1.78807947019868e-05
