sample	mutsig	attribution
bAccGen1_SOM	SBS0	0.295388537154282
bAccGen1_SOM	SBS1	0.131675774741753
bAccGen1_SOM	SBS2	0.0206237920693102
bAccGen1_SOM	SBS3	0.0408963678773742
bAccGen1_SOM	SBS4	0.0583192269243585
bAccGen1_SOM	SBS5	0.0129490169943352
bAccGen1_SOM	SBS6	0.0581209596801066
bAccGen1_SOM	SBS7	0.162131622792403
bAccGen1_SOM	SBS8	0.154302899033655
bAccGen1_SOM	SBS9	0.057211929356881
bAccGen1_SOM	SBS10	0.000647117627457514
bAccGen1_SOM	SBS11	0.000482839053648784
bAccGen1_SOM	SBS12	0.0010326557814062
bAccGen1_SOM	SBS13	0.00049950016661113
bAccGen1_SOM	SBS14	0.000290903032322559
bAccGen1_SOM	SBS15	0.00036321226257914
bAccGen1_SOM	SBS16	0.0011186271242919
bAccGen1_SOM	SBS17	0.00192269243585472
bAccGen1_SOM	SBS18	0.000448183938687104
bAccGen1_SOM	SBS19	0.000657780739753415
bAccGen1_SOM	SBS20	4.19860046651116e-05
bAccGen1_SOM	SBS21	3.03232255914695e-05
bAccGen1_SOM	SBS22	2.8323892035988e-05
bAccGen1_SOM	SBS23	3.99866711096301e-05
bAccGen1_SOM	SBS24	0.000144618460513162
bAccGen1_SOM	SBS25	2.13262245918027e-05
bAccGen1_SOM	SBS26	0.000506831056314562
bAccGen1_SOM	SBS27	1.66611129623459e-06
bAccGen1_SOM	SBS28	1.99933355548151e-06
bAccGen1_SOM	SBS29	8.66377874041986e-06
bAccGen1_SOM	SBS30	3.86537820726425e-05
bAccGen1_SOM	SBS31	5.19826724425192e-05
cmLunCruc20_SOM	SBS0	0.337487333333333
cmLunCruc20_SOM	SBS1	0.0481893333333333
cmLunCruc20_SOM	SBS2	0.0238866666666667
cmLunCruc20_SOM	SBS3	0.310147333333333
cmLunCruc20_SOM	SBS4	0.211926666666667
cmLunCruc20_SOM	SBS5	0.00958
cmLunCruc20_SOM	SBS6	0.0126493333333333
cmLunCruc20_SOM	SBS7	0.000459333333333333
cmLunCruc20_SOM	SBS8	0.0264973333333333
cmLunCruc20_SOM	SBS9	0.00542266666666667
cmLunCruc20_SOM	SBS10	0.000942666666666667
cmLunCruc20_SOM	SBS11	0.001946
cmLunCruc20_SOM	SBS12	0.001258
cmLunCruc20_SOM	SBS13	0.00249
cmLunCruc20_SOM	SBS14	0.000209333333333333
cmLunCruc20_SOM	SBS15	0.00261533333333333
cmLunCruc20_SOM	SBS16	0.00012
cmLunCruc20_SOM	SBS17	0.000351333333333333
cmLunCruc20_SOM	SBS18	0.000435333333333333
cmLunCruc20_SOM	SBS19	0.001786
cmLunCruc20_SOM	SBS20	4.33333333333333e-05
cmLunCruc20_SOM	SBS21	3.06666666666667e-05
cmLunCruc20_SOM	SBS22	0.000119333333333333
cmLunCruc20_SOM	SBS23	0.000225333333333333
cmLunCruc20_SOM	SBS24	0.000113333333333333
cmLunCruc20_SOM	SBS25	2.33333333333333e-05
cmLunCruc20_SOM	SBS26	1.26666666666667e-05
cmLunCruc20_SOM	SBS27	1.26666666666667e-05
cmLunCruc20_SOM	SBS28	5.33333333333333e-06
cmLunCruc20_SOM	SBS29	1.86666666666667e-05
cmLunCruc20_SOM	SBS30	9.46666666666667e-05
cmLunCruc20_SOM	SBS31	0.000900666666666667
daBalNigr1_SOM	SBS0	0.171699566522174
daBalNigr1_SOM	SBS1	0.0324404801600534
daBalNigr1_SOM	SBS2	0.0851857285761921
daBalNigr1_SOM	SBS3	0.283126375458486
daBalNigr1_SOM	SBS4	0.0462757585861954
daBalNigr1_SOM	SBS5	0.0212250750250083
daBalNigr1_SOM	SBS6	0.258349116372124
daBalNigr1_SOM	SBS7	0.0191817272424141
daBalNigr1_SOM	SBS8	0.00241947315771924
daBalNigr1_SOM	SBS9	0.0017675891963988
daBalNigr1_SOM	SBS10	0.0144581527175725
daBalNigr1_SOM	SBS11	0.00102500833611204
daBalNigr1_SOM	SBS12	0.00101167055685228
daBalNigr1_SOM	SBS13	0.000108702900966989
daBalNigr1_SOM	SBS14	0.000120706902300767
daBalNigr1_SOM	SBS15	0.000185061687229076
daBalNigr1_SOM	SBS16	0.000166055351783928
daBalNigr1_SOM	SBS17	0.0099186395465155
daBalNigr1_SOM	SBS18	0.0499563187729243
daBalNigr1_SOM	SBS19	0.000114371457152384
daBalNigr1_SOM	SBS20	2.90096698899633e-05
daBalNigr1_SOM	SBS21	0.000691563854618206
daBalNigr1_SOM	SBS22	6.96898966322107e-05
daBalNigr1_SOM	SBS23	1.80060020006669e-05
daBalNigr1_SOM	SBS24	4.86828942980994e-05
daBalNigr1_SOM	SBS25	1.83394464821607e-05
daBalNigr1_SOM	SBS26	4.66822274091364e-06
