SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85
TOL1	0.5540622955377859	0.3057012106166982	0.5948144916503226	0.3662156134446059	0.7634932895491366	0.7645852827730969	0.46790726697862667	0.5365388173453868	0.1782484629677841	0.21950319792847117	0.37306012384116816	0.3868677466884549	0.12512539612447168	0.4060658361847756	0.5285193833241877	0.31705142460767965	0.09174284216254709	0.23888370340719753	0.6521150917255008	0.24304376210302733	0.1374743387594566	0.056864633601132905	0.37491315672210285	0.5149802682237846	0.3585717321554211	0.23293941424722506	0.17600517900569101	0.5415582879762841	0.4106271028811021	0.5779779047710313	0.32493747908542636	0.1964155740796203	0.06527948276886827	0.3643556373040174	0.6469178049078135	0.48417786578027894	0.5912497120493737	0.20916540636185774	0.15227235963296504	0.38298332063700447	0.2607120531849864	0.34063234931562836	0.16713156302837337	0.3935171038873267	0.6454518055435254	0.36107966078865583	0.5523669507439413	0.11212760116212077	0.5873203288938091	0.18666765239847796	0.4253379483236164	0.27967925953129147	0.09129396852965056	0.1350743574289637	0.3774006036617399	0.32008963168492266	0.15533300827404278	0.20815132956219257	0.265096664493398	0.11833768812156915	0.16161928234220746	0.30956755512860407	0.42515451831442364	0.09657938213566676	0.03175315247978643	0.4884650744796434	0.25653898858497254
TOL2	0.10345452225176123	0.34151402031493805	0.5952756160074985	0.3296997078225382	0.7389682460392273	0.36153132165553026	0.2877194467055994	0.24631151652693753	0.21055678617831428	0.2930265447790421	0.4853277405067015	0.39936659139728486	0.20846766501238118	0.3578474192680921	0.400141680094728	0.3792223258816334	0.12589271511680294	0.2531607544026592	0.25645529211035323	0.30320502173330166	0.08303536483159182	0.03476277335063265	0.3476968900111674	0.36719248987820335	0.29456405048797296	0.2708429813708478	0.3095980656041256	0.35956855647015945	0.3132620167500868	0.6327013870142666	0.3814736931057536	0.25554104615435286	0.03700019995718308	0.2787350961387143	0.4879116726027513	0.2900628765438936	0.6144500911742952	0.256884250364577	0.39688363998056203	0.29510176032644514	0.29147755506065354	0.33795339151169757	0.08002222781014962	0.411950140040214	0.6758156119903082	0.439983592618385	0.505639720868366	0.09922989506658847	0.6098365666052498	0.10413448874360148	0.405020151477337	0.3633348828020509	0.039157679815317585	0.03050506076920041	0.2839402402879627	0.38259391768389833	0.14860347820976255	0.10897833045350597	0.3051417020080448	0.10435739881045716	0.2524989658694153	0.2687866602339933	0.4668787721223517	0.1121764455134666	0.018677953493995467	0.5557787602907905	0.4264749839349387
TOL3	0.04207880057997648	0.32713844444700146	0.675823636265935	0.27412741484466935	0.8242693348417695	0.35540887846317004	0.37518934460195147	0.4176976765224192	0.15526591606291734	0.32907466851898365	0.3211930503960556	0.4145367601612515	0.07822122700345915	0.1624211461948916	0.6457670360839384	0.5550631702576023	0.1331169677383584	0.20088928411918824	0.2904424658365002	0.37103574364092523	0.1247690572362088	0.07138624979311735	0.21816199258841124	0.4093178733759217	0.32426315897686103	0.43950872580172584	0.16089106410681053	0.5482635355121228	0.32464442170474384	0.5370264260592228	0.5376099613901809	0.16260714961587416	0.05559444999429449	0.19997523567288591	0.6354700063189008	0.40922510821118185	0.6851514310150487	0.31748564133611223	0.09488421132771038	0.34189754202565026	0.16158371276504735	0.4934124602077696	0.08622361988975993	0.4725471742364232	0.6979293384460029	0.3417534722103075	0.6485521574397578	0.14459725239878976	0.6058702368724063	0.09737995355585455	0.560329773919637	0.2018597010427936	0.015475904570901752	0.03916882172575624	0.30690747025679543	0.28290854772644247	0.06588553879307435	0.11756257299513825	0.3411806535328581	0.10752007788808224	0.09716173142159679	0.3374192465076266	0.47151771756666694	0.07623145352509825	0.027195860229557178	0.598201543024289	0.3480905040922329
TOL4	0.038026434154212245	0.08638334239669276	0.41825390186922173	0.32210046753409954	0.3552382520325526	0.13217321854989117	0.15312911531040463	0.166507275022361	0.296542733055027	0.17812237300280795	0.5857466051413358	0.3164820023161928	0.06871828234920341	0.10971853197123782	0.18755079395864438	0.11272326769342157	0.026439395948824346	0.14181604340408532	0.12386148600819871	0.15150734344023276	0.06966150621694882	0.04628037374300162	0.20610071462274282	0.1597540698248696	0.20660914847816994	0.06627367325252684	0.5677122033654958	0.14444592363678976	0.1908750558821813	0.5935937061909702	0.09773897650114716	0.3515145484433209	0.036180578765193976	0.18876875003020419	0.18332992341189622	0.23174902961018462	0.24452796826344864	0.06550582819452315	0.8041403581623251	0.3866455466971781	0.13102961237771021	0.11698360158705771	0.10760590962687587	0.2403397014870466	0.40537398779387895	0.5181531895472227	0.2900728064260925	0.06777447190999479	0.3143048151512313	0.09955853528483406	0.1444617610702722	0.5876173808364376	0.013192116032211135	0.04427115177711251	0.2586591349524568	0.38005970424595614	0.0467881680291788	0.12049841843520061	0.07763298221058991	0.09432120425462576	0.1241039642718677	0.1545447026018006	0.24278348203203332	0.06995143135836722	0.015739121662743556	0.24626991658961495	0.563385475876877
TOL5	0.16233887856442117	0.5005126912488078	0.3086312719803899	0.20432645424848236	0.409115095768439	0.22792813506701484	0.4340390541981107	0.30420207382772557	0.11972320964794136	0.11685267851204933	0.275348073490019	0.197512169816508	0.03189425837344379	0.5552378864362082	0.16215777191816277	0.12105175764854101	0.02757654018986357	0.06518852333635489	0.14590728200631367	0.12712240987676846	0.026167826059027417	0.012903864571999	0.17797913592595022	0.2638864367729396	0.11436010152107594	0.07260971374537455	0.39792521981606016	0.21017878772138202	0.14539842274214762	0.46532129249548904	0.09388038810381674	0.6011677091920793	0.021004779600253796	0.16644922292717834	0.4347411625314144	0.269403903396319	0.24254445805205468	0.07470989225629796	0.23582487029490906	0.2534885572315101	0.10509066872143828	0.1248432231752606	0.04669104212029957	0.1908897467528462	0.3814081718460732	0.22456457381399916	0.22404693290277727	0.060117786960910705	0.17304428176382464	0.045262562034145526	0.20161619900398833	0.37734700668263227	0.031249840565566494	0.02094649085800195	0.1775117595681582	0.34501083034402863	0.055347288594222346	0.08798090490508959	0.05257228380845102	0.05966171054500288	0.04610578118273871	0.16485854030005748	0.25949254593745263	0.02888030044691125	0.02291259657093835	0.1537285532365843	0.34250152291478897
TOL6	0.046900760656368445	0.3196195535184889	0.5953242948928916	0.5561013899072128	0.6001082249773245	0.20541831064288535	0.2847304962694125	0.26972463252846635	0.21775376151414222	0.22804160693085196	0.6611678573308866	0.38782220885703883	0.22178177510276906	0.17934809988326147	0.3910185376252453	0.2540966303486011	0.08626547989716597	0.288165082712578	0.1920661018869787	0.28958367308281663	0.039219397348141595	0.032569549931420944	0.528772367534271	0.26432756175713606	0.3010846918918609	0.18451463677853874	0.39557518119750557	0.29274748421818936	0.40218484991144016	0.6056741996072643	0.21123735388559103	0.4625252219582034	0.05790624006028456	0.4737949095780146	0.41582301878926553	0.335137489618708	0.5294400549182544	0.11203244929634174	0.479189770909444	0.41431114363466864	0.41019202134399363	0.2602572616143894	0.28780736703390564	0.34603398315861417	0.7051028879983012	0.4391623833064092	0.4421544661824422	0.14184945249556535	0.40294966616382927	0.2958948017191412	0.2918475031483134	0.7094188886756241	0.08104882259005725	0.14055221463658737	0.5356118808797016	0.664357712606761	0.2624401796770375	0.2667695840023507	0.10597341838046583	0.1120507217119059	0.3054446636927623	0.27160288672714916	0.5424593449274514	0.10792173134057477	0.04645934979016188	0.348913441067769	0.5489190673862606
TOL7	0.4195167829195249	0.33010461774647376	0.47351356406801604	0.19798538050422598	0.6981499113103949	0.7726070749523685	0.47446854026173424	0.5890480460417311	0.10689505130331933	0.17373234050827993	0.16918072492469755	0.26423371126382894	0.04723894250558935	0.32553313901196684	0.671967410761592	0.24907135430650137	0.028424135379017137	0.14531140232374487	0.6326526825682219	0.1456254764972316	0.12437203884310476	0.018490662749971663	0.21518192147113555	0.623734015165326	0.3473486868513475	0.19368577476683724	0.05967683335616231	0.7144702359622451	0.3130403598172701	0.4218291339192657	0.26912365875771865	0.1374552405690686	0.02517468516456731	0.19326124349822843	0.7675554688214279	0.51329185465682	0.674528538087876	0.1748574184895665	0.050196880016085514	0.31112640159909377	0.11727176283504596	0.23624161679755706	0.08261177267004954	0.25144615895531	0.5284802317122573	0.2361538763438428	0.6454591911207908	0.07291185268347597	0.6541836323170093	0.07723418411503497	0.3869519266058258	0.15856958382402833	0.01722749308120825	0.04847015400252111	0.27301109442873267	0.22691936031871415	0.04184739651855131	0.12694686879387052	0.23987781074263329	0.07766633168164977	0.04613977581990619	0.26454113157220005	0.39748849582414486	0.03566120096765359	0.017802983762007348	0.6318083756554391	0.13839595990227865
TOL8	0.9794867855606171	0.0472734530701411	0.07983932079864442	0.04779378777908722	0.21425373109985946	0.7616853063374904	0.08335311521491709	0.10546539797323265	0.022024921643831106	0.025193563909988902	0.06449001461279313	0.07975735501087762	0.02492088613142844	0.3115013360684054	0.07113022375990505	0.02005606357210603	0.009497000765980243	0.08836418942855967	0.6343361764180206	0.03737291933201848	0.008060194279271517	0.003463700743856418	0.1391405452808436	0.08173385788616061	0.10939245876392736	0.03472292084495626	0.01887356222084612	0.09979657005335393	0.11817082473322846	0.24057542686073505	0.05745026704301935	0.04935639675327777	0.016332023883843975	0.18399160150734256	0.12272375498334763	0.09243948885242753	0.21602729195988019	0.03851636957043764	0.040818132693765045	0.04609477770046396	0.05631851723821856	0.07128117690323568	0.030901332604166647	0.11357267662593647	0.07079831987366257	0.1042949690331612	0.0636666557863276	0.018646431437155563	0.2251347652432421	0.02893624530321427	0.0615242372279576	0.04679936983010379	0.02217809264444439	0.013170629813065089	0.10119982098482198	0.09455551763522442	0.025066253145975704	0.061929891473828366	0.06613240802355659	0.04575528263995042	0.01773398470555967	0.1098591212939743	0.10983360122380963	0.018915895448202255	0.01781261774930115	0.0811068920257411	0.02758318432045995
TOL9	0.022030296508617358	0.04334933632953017	0.27355478118106313	0.20096940365769667	0.27045813462245216	0.12628908751107393	0.05392840568849313	0.06439569418461043	0.16563820725183437	0.16715222330035073	0.3892675095067881	0.22444474453071384	0.08912258551752765	0.05471345413764925	0.13702190909765408	0.08879441454789982	0.02825597968682316	0.1056718235643927	0.12832581064570708	0.1159429280520212	0.027684045919899355	0.00833176720077687	0.1809471026523052	0.12521934052257838	0.17437836087852943	0.05471730742469827	0.2779023433773092	0.14115723001787941	0.1580489770932839	0.3446153197420746	0.08255071177215768	0.22917652707489958	0.01311594818991376	0.1517065443838869	0.11031324287989694	0.11259208297194762	0.20120655268607743	0.05165001393372878	0.7117575106228277	0.17360603960301724	0.13414287686483328	0.09243472470419095	0.046067016418273266	0.1801534969565596	0.2884121149710187	0.4004675603700574	0.264590883984706	0.05510730872199914	0.29802227110645446	0.05863531213848708	0.10834473592619484	0.3427574338097299	0.01960152424203552	0.0190956953180448	0.11169515973333428	0.275140053164344	0.06625044298708492	0.06034580003710002	0.062230590553998655	0.045524563697025094	0.14425856121132702	0.10289234297094561	0.12902913504426614	0.06931489245524258	0.0092021792213939	0.26572228158264627	0.40654379845401917
TOL10	0.15788789578096266	0.2431493498281076	0.5990934810149873	0.5603223506188388	0.6258650992719779	0.3321590302458872	0.30451416334069875	0.33402593494185673	0.17983959118033946	0.24992497771326727	0.47911916572607127	0.4922686371899789	0.3111618085535869	0.3453749730312894	0.3679430903707275	0.3123645508299655	0.10984410390362684	0.4247002148042787	0.27867319547458164	0.23289997978685828	0.07491972873231532	0.08957864006791318	0.537241033186644	0.2750831404668543	0.3887271265990593	0.2687180711412791	0.17000974186170698	0.3958554358202506	0.5576333304872556	0.5169277583876487	0.28554390880759867	0.1745629229094077	0.11129229747127514	0.5262320140874001	0.41633312559023167	0.38776922758841176	0.37779995838381614	0.22522718287274252	0.0998410807912609	0.477500112020224	0.5001442298062365	0.35759268868230926	0.2376935664404289	0.3824454707240466	0.6605942599109573	0.3286116040838308	0.5485672154864516	0.1908508529660102	0.45038925732204294	0.37355569635462504	0.3606638214987814	0.20374097058533436	0.31581333355068314	0.37035000149170044	0.2617481111196682	0.28725776621406446	0.3166519877080434	0.21838547242758866	0.1858957719868444	0.18034378430868572	0.37643550325827213	0.28512021739552	0.26381683867584604	0.23332265687616444	0.09670597745765047	0.37775748223716443	0.2799715444572783
