TOL1	TOL2	TOL3	TOL4	TOL5	TOL6	TOL7	TOL8	TOL9	TOL10	TOL11	TOL12	TOL13	TOL14	TOL15	TOL16	TOL17	TOL18	TOL19	TOL20	TOL21	TOL22	TOL23	TOL24	TOL25	TOL26	TOL27	TOL28	TOL29	TOL30	TOL31
TOL1	0.7795144939973648	0.957587098432109	0.2418147952275115	0.3534147444228323	0.6546442569821178	0.19723790663667262	0.77857153491677	0.4248280857051435	0.6203802394146499	0.8061583087056878	0.6973864918409297	0.7075045201364802	0.4915718312831558	0.4871590611726999	0.758235072106138	0.5767855474320157	0.25188737201042427	0.6342572736566001	0.5804297563633011	0.34464849255772323	0.39060533931148833	0.451954572354648	0.524009127487415	0.4363992348493784	0.346983521231749	0.2827137220127895	0.7226562745983818	0.42317997000165114	0.39383591846579036	0.4500171830872542	0.5273010027342668
TOL2	0.8098034294574453	0.7817200765329841	0.48496214004488697	0.4903431659574624	0.8589634666886881	0.4644312152741152	0.49771519664754665	0.5505725297902098	0.5006841967311499	0.739531156988244	0.591533461076082	0.7196776097688368	0.4313114228952314	0.472780388709868	0.5444691986654482	0.32669628242366605	0.31830977897161605	0.6534413196909494	0.6111614215751234	0.5178510102976283	0.5194044413961549	0.5184446343843326	0.5414299969082463	0.35310304443418267	0.3478355113866153	0.32373473718994955	0.5227306163058606	0.31355958858477323	0.383874356515102	0.5944792786228664	0.6462237167971151
TOL3	0.6357030153731545	0.8385089659942075	0.20824504826571127	0.24799827927883875	0.6415115312547388	0.16564837128409737	0.41705314227573076	0.3387514736654339	0.4908019011050865	0.6632205129635504	0.7925304342372337	0.6612185969213965	0.399403760638856	0.4814360246378522	0.6389146311400319	0.2766237577092378	0.22074440864568462	0.6671849533688139	0.5078614954590274	0.4047333451151395	0.4497993274836293	0.4366477388969898	0.5321889381741228	0.45636636244442874	0.2633653028698667	0.17548887477131123	0.4775120374779927	0.3184674633396403	0.3239746859061011	0.404483695513642	0.5261312682919621
TOL4	0.8080655752866006	0.39655859403235877	0.8397128823040387	0.7357402083481441	0.8573118709549561	0.9126240736395754	0.20769378638477337	0.6098692126722376	0.2759500046928405	0.4864847657374532	0.40557153092403886	0.48558739714003846	0.42110486647047185	0.4144994994452889	0.32438871223774557	0.21100083964376892	0.2856783025435427	0.47554894901860106	0.4836936140210727	0.3039570479296875	0.5329439050836533	0.3899814039714467	0.4813957903070204	0.29576419108117435	0.3799472085878658	0.4861287087025939	0.16178499974337238	0.26546551700903925	0.3450431709691026	0.6792992526932764	0.5273132078739972
TOL5	0.658253789944215	0.5396110341307181	0.26632572547098693	0.5176941907623486	0.5651898648120515	0.2711003229649978	0.40323077633112847	0.8402054638735498	0.6994399069246916	0.5456807143904416	0.34453953996708647	0.6027537246967719	0.3218062868124483	0.3958889102073049	0.5601927654091988	0.24409261062162368	0.25317175660441754	0.32072412068038514	0.5013441139806929	0.27963361645579915	0.3509140971920847	0.5672014887252602	0.37592664026501554	0.3350574585975358	0.23572585712609187	0.3001546879851798	0.47460159261082774	0.5452151463020584	0.32049113121859474	0.36913810497754684	0.6051061304237478
TOL6	0.7777651138668835	0.5930672027941537	0.46758263011694967	0.6650266819956945	0.6722158426869169	0.44730824410710174	0.27976344627093896	0.6823807049755658	0.4702119808016028	0.6005847690921694	0.5355301789595395	0.6522742343822006	0.402884840182233	0.5601803046924472	0.45127210737305273	0.26200102438520306	0.2756250562757852	0.5703885101844339	0.7434262993434687	0.4775851835304061	0.49130980525200707	0.45899862648544437	0.5748121441231802	0.3417490858126433	0.34259196823331317	0.7035223346096542	0.29803933933066157	0.369158863385081	0.42219311472447424	0.5213972847136817	0.6224936044380908
TOL7	0.6328896158008218	0.9254099425564921	0.1501016200392502	0.21004999744337421	0.5631033302847284	0.08574802062718136	0.665167420710653	0.29895321654953155	0.5830572032092757	0.7786717570870816	0.7311319697916796	0.573793298753035	0.3216456871641718	0.4436760781719857	0.7696638091063832	0.4727384549379871	0.17814758098038316	0.5967653318515108	0.39734743312588444	0.3008081862014342	0.3320650633057688	0.4034287925518853	0.4345018103580198	0.4315508487806385	0.20261402138588355	0.11508628253757729	0.6345744055106143	0.3695624129060346	0.2708563875994706	0.29905831922824977	0.40020973416651845
TOL8	0.3990457692301269	0.5560856903599095	0.06156386967067312	0.09873510443260779	0.3105973111776113	0.04880567366978681	0.9197494934314249	0.1389970139927775	0.19961529803628134	0.3176211144675391	0.18437397180943904	0.282280850840045	0.19836089319690176	0.09296618734363725	0.2581816888400151	0.5797483562942496	0.08002932034290407	0.24654153813432306	0.17476284489920738	0.08112197332221592	0.0712127692942191	0.06316456038437546	0.15609231059900258	0.21849105711850908	0.11698101334423473	0.052221309034679995	0.7395379217302654	0.0676836260355084	0.12069731008836007	0.14527253248354002	0.14893436945248634
TOL9	0.6322888925055358	0.3282619029611609	0.8662242897723401	0.5038767024563046	0.8593696280429187	0.8431265852456619	0.1466777069107364	0.3774978428545804	0.16715703347297237	0.43344290152204634	0.3261836974201636	0.39383434367242537	0.3047362517765498	0.2193151594906212	0.24937942695357243	0.13576622461372334	0.19253027545955545	0.4768717890039788	0.41297117257048055	0.22367283926239886	0.466398020747756	0.29445661635386805	0.3261335240251507	0.20345395842507263	0.37737832758683293	0.3126219237342541	0.15223387031587576	0.11372080054512591	0.28618751904343653	0.5926830085643979	0.46258760317634523
TOL10	0.6232965782013788	0.68122142827259	0.19770994103545653	0.3203561870275355	0.573525543346449	0.16808504612407085	0.42447144412040394	0.39248268520091173	0.5020712197724752	0.7159267844423075	0.6179398484479006	0.9479392028287409	0.6199360888086057	0.4245197399306917	0.6160720785702954	0.2240836317567913	0.24761252815874266	0.6893434935117217	0.7696762623251959	0.2726460102263038	0.3931792633647522	0.3406194289823526	0.6083297944051526	0.49586463078393517	0.6265829756051162	0.29260082648007735	0.5411036240448294	0.4057713851496457	0.5787300762227883	0.5241470894675037	0.6725014803621885
